date,datatype,station,attributes,value
2024-01-01T00:00:00,PRCP,GHCND:AQC00914000,",,7,1000",48.8
2024-01-01T00:00:00,PRCP,GHCND:AQC00914141,",,7,",11.2
2024-01-01T00:00:00,PRCP,GHCND:AQC00914594,",,7,",24.1
2024-01-01T00:00:00,PRCP,GHCND:AQW00061705,",,W,2400",16.0
2024-01-01T00:00:00,TAVG,GHCND:AQW00061705,"H,,S,",28.3
2024-01-01T00:00:00,TMAX,GHCND:AQW00061705,",,W,2400",31.8
2024-01-01T00:00:00,TMIN,GHCND:AQW00061705,",,W,2400",26.3
2024-01-01T00:00:00,PRCP,GHCND:CA001018611,",,C,",0.0
2024-01-01T00:00:00,TAVG,GHCND:CA001018611,",,C,",6.2
2024-01-01T00:00:00,TMAX,GHCND:CA001018611,",,C,",8.1
